,"Amplicon 73
[21889-22247]

AY.4.2

21995C,22227T","Amplicon 72
[21561-21904]

BA.1

21762T,Δ21765-21770,21846T","Amplicon 73
[21889-22247]

BA.1

Δ21987-21995,Δ22194-22196","Amplicon 75
[22428-22785]

BA.1

22578A,22673→CTC,22679C,22686T","Amplicon 76
[22677-23028]

BA.1

22679C,22686T,22813T,22882G,22898A,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.1

22992A,22995A,23013C,23040G,23048A,23055G,23063T,23075C,23202A","Amplicon 80
[23876-24233]

BA.1

23948T,24130A","Amplicon 81
[24194-24545]

BA.1

24424T,24469A,24503T","Amplicon 78
[23246-23611]

BA.1,BA.2

23403G,23525T,23599G,23604A","Amplicon 79
[23575-23927]

BA.1,BA.2

23599G,23604A,23854A","Amplicon 94
[28021-28394]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 95
[28214-28572]

BA.1,BA.2

28311T,Δ28362-28370","Amplicon 14
[4018-4387]

BA.2

4184A,4321T","Amplicon 31
[9192-9535]

BA.2

9344T,9424G,9534T","Amplicon 33
[9805-10150]

BA.2

9866T,10029T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A,10449A","Amplicon 35
[10419-10785]

BA.2

10447A,10449A","Amplicon 43
[12856-13218]

BA.2

12880T,13195C","Amplicon 66
[19836-20186]

BA.2

19955T,20055G","Amplicon 71
[21316-21675]

BA.2

21618T,Δ21633-21641","Amplicon 72
[21561-21904]

BA.2

21618T,Δ21633-21641","Amplicon 73
[21889-22247]

BA.2

Δ21987-21995,22200G","Amplicon 75
[22428-22785]

BA.2

22578A,22674T,22679C,22686T,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22686T,22688G,22775A,22786T,22813T,22882G,22992A,22995A,23013C","Amplicon 77
[22974-23327]

BA.2

22992A,22995A,23013C,23040G,23055G,23063T,23075C","Amplicon 81
[24194-24545]

BA.2

24424T,24469A","Amplicon 87
[25979-26338]

BA.2

26060T,26270T","Amplicon 89
[26587-26956]

BA.2

26709A,26858T","Amplicon 91
[27177-27534]

BA.2

27259C,27382→CTC","Amplicon 77
[22974-23327]

B.1.1.7 (alpha)

23063T,23271A","Amplicon 78
[23246-23611]

B.1.1.7 (alpha)

23271A,23604A","Amplicon 79
[23575-23927]

B.1.1.7 (alpha)

23604A,23709T","Amplicon 93
[27726-28082]

B.1.1.7 (alpha)

27972T,28048T","Amplicon 94
[28021-28394]

B.1.1.7 (alpha)

28048T,28111G,28280→CTA","Amplicon 29
[8619-8990]

B.1.351 (beta)

8660T,8964T","Amplicon 72
[21561-21904]

B.1.351 (beta)

21614T,21801C","Amplicon 74
[22113-22474]

B.1.351 (beta)

22206G,22299T","Amplicon 76
[22677-23028]

B.1.351 (beta)

22813T,23012A","Amplicon 72
[21561-21904]

C.36.3

21597T,Δ21765-21770","Amplicon 78
[23246-23611]

B.1

23403G","Amplicon 76
[22677-23028]

AY.4.2,B.1.617.2 (delta)

22917G,22995A","Amplicon 92
[27473-27826]

AY.4.2,B.1.617.2 (delta)

27638C,27752T","Amplicon 77
[22974-23327]

B.1.351 (beta),P.1 (gamma)

23012A,23063T","Amplicon 71
[21316-21675]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 72
[21561-21904]

P.1 (gamma)

21614T,21621A,21638T","Amplicon 73
[21889-22247]

P.1 (gamma)

21974T,22132T","Amplicon 76
[22677-23028]

P.1 (gamma)

22812C,23012A","Amplicon 96
[28536-28893]

P.1 (gamma)

28877T,28878C","Amplicon 97
[28849-29206]

P.1 (gamma)

28877T,28878C","Amplicon 76
[22677-23028]

B.1.617.3,B.1.617.1 (kappa)

22917G,23012C","Amplicon 93
[27726-28082]

B.1.621

27925A,28005T","Amplicon 82
[24448-24814]

BA.1,BA.1

24469A,24503T","Amplicon 88
[26277-26635]

BA.1,BA.1

26530G,26577G","Amplicon 76
[22677-23028]

BA.1

22679C,22898A","Amplicon 77
[22974-23327]

BA.1

23048A,23202A","Amplicon 81
[24194-24545]

BA.1

24469A,24503T","Amplicon 31
[9192-9535]

BA.2

9424G,9534T","Amplicon 34
[10099-10465]

BA.2

10198T,10447A","Amplicon 75
[22428-22785]

BA.2

22679C,22688G,22775A","Amplicon 76
[22677-23028]

BA.2

22679C,22688G,22775A,22786C"
SRR19179113.fastq.bam,"2 / 1269
0.16%","0 / 20
0.00%","0 / 1269
0.00%","0 / 2
0.00%","0 / 460
0.00%","0 / 474
0.00%","1 / 1092
0.09%","0 / 1122
0.00%","2796 / 2807
99.61%","0 / 15
0.00%","99 / 99
100.00%","1303 / 1325
98.34%","0 / 12
0.00%","0 / 5
0.00%","1333 / 1338
99.63%","0 / 4
0.00%","0 / 0
NA","0 / 0
NA","3483 / 3513
99.15%","0 / 0
NA","0 / 0
NA","0 / 1269
0.00%","1 / 2
50.00%","0 / 548
0.00%","467 / 474
98.52%","1117 / 1122
99.55%","0 / 61
0.00%","386 / 386
100.00%","0 / 143
0.00%","473 / 490
96.53%","0 / 1449
0.00%","0 / 18
0.00%","0 / 1
0.00%","0 / 158
0.00%","0 / 258
0.00%","0 / 20
0.00%","0 / 362
0.00%","548 / 561
97.68%","0 / 20
0.00%","4277 / 4281
99.91%","0 / 460
0.00%","0 / 59
0.00%","0 / 474
0.00%","0 / 0
NA","0 / 0
NA","0 / 504
0.00%","0 / 561
0.00%","0 / 1
0.00%","0 / 2941
0.00%","1 / 1025
0.10%","0 / 7
0.00%","0 / 0
NA","0 / 1220
0.00%","0 / 1025
0.00%","0 / 504
0.00%","0 / 1122
0.00%","0 / 5
0.00%","0 / 4
0.00%","2 / 2
100.00%","284 / 560
50.71%"
SRR19179114.fastq.bam,"0 / 857
0.00%","0 / 22
0.00%","0 / 857
0.00%","0 / 2
0.00%","0 / 1
0.00%","3 / 1114
0.27%","1 / 3783
0.03%","0 / 776
0.00%","5768 / 5782
99.76%","1 / 43
2.33%","129 / 129
100.00%","1371 / 1377
99.56%","0 / 194
0.00%","0 / 16
0.00%","1388 / 1396
99.43%","0 / 0
NA","1 / 1
100.00%","0 / 0
NA","10539 / 10558
99.82%","0 / 0
NA","0 / 0
NA","1 / 857
0.12%","2 / 2
100.00%","1 / 684
0.15%","1103 / 1114
99.01%","774 / 776
99.74%","0 / 10
0.00%","401 / 402
99.75%","0 / 97
0.00%","1113 / 1136
97.98%","0 / 2556
0.00%","0 / 47
0.00%","0 / 1
0.00%","0 / 248
0.00%","0 / 306
0.00%","0 / 22
0.00%","0 / 889
0.00%","682 / 692
98.55%","0 / 22
0.00%","8381 / 8391
99.88%","0 / 1090
0.00%","0 / 99
0.00%","1 / 1116
0.09%","0 / 0
NA","0 / 0
NA","0 / 335
0.00%","1 / 692
0.14%","0 / 0
NA","0 / 1378
0.00%","0 / 1
0.00%","0 / 13
0.00%","0 / 0
NA","0 / 383
0.00%","1 / 1806
0.06%","3 / 1156
0.26%","0 / 776
0.00%","0 / 16
0.00%","0 / 0
NA","2 / 2
100.00%","299 / 691
43.27%"
SRR19179115.fastq.bam,"5 / 2911
0.17%","0 / 27
0.00%","0 / 2912
0.00%","0 / 2
0.00%","0 / 920
0.00%","0 / 933
0.00%","0 / 5617
0.00%","0 / 2499
0.00%","3849 / 3857
99.79%","4 / 53
7.55%","2 / 2
100.00%","6378 / 6443
98.99%","0 / 86
0.00%","0 / 7
0.00%","2381 / 2757
86.36%","0 / 1156
0.00%","0 / 1
0.00%","300 / 301
99.67%","4278 / 5966
71.71%","0 / 0
NA","0 / 0
NA","1 / 2912
0.03%","2 / 2
100.00%","1 / 1218
0.08%","927 / 933
99.36%","2307 / 2499
92.32%","1 / 126
0.79%","2 / 2
100.00%","0 / 182
0.00%","933 / 945
98.73%","0 / 3262
0.00%","0 / 1
0.00%","0 / 6
0.00%","0 / 200
0.00%","0 / 263
0.00%","0 / 29
0.00%","0 / 3115
0.00%","1215 / 1232
98.62%","0 / 28
0.00%","7160 / 7164
99.94%","1 / 920
0.11%","0 / 62
0.00%","0 / 933
0.00%","0 / 0
NA","0 / 0
NA","0 / 1087
0.00%","0 / 1232
0.00%","0 / 7
0.00%","425 / 4976
8.54%","1 / 2166
0.05%","0 / 14
0.00%","0 / 0
NA","0 / 2095
0.00%","1 / 2161
0.05%","0 / 974
0.00%","0 / 2499
0.00%","0 / 7
0.00%","4 / 1157
0.35%","2 / 2
100.00%","643 / 1232
52.19%"
SRR19179116.fastq.bam,"6 / 5126
0.12%","0 / 52
0.00%","0 / 5126
0.00%","0 / 2
0.00%","0 / 1
0.00%","0 / 1500
0.00%","0 / 2548
0.00%","2 / 2775
0.07%","4853 / 4864
99.77%","2 / 44
4.55%","195 / 197
98.98%","2440 / 2463
99.07%","0 / 330
0.00%","0 / 6
0.00%","2319 / 2326
99.70%","0 / 13
0.00%","6 / 6
100.00%","0 / 0
NA","8084 / 8101
99.79%","1 / 1
100.00%","0 / 0
NA","1 / 5126
0.02%","2 / 2
100.00%","4 / 1595
0.25%","1477 / 1500
98.47%","2762 / 2775
99.53%","0 / 15
0.00%","746 / 748
99.73%","0 / 146
0.00%","1501 / 1527
98.30%","2 / 3660
0.05%","0 / 1
0.00%","0 / 1
0.00%","0 / 188
0.00%","1 / 324
0.31%","0 / 52
0.00%","0 / 1040
0.00%","1594 / 1612
98.88%","0 / 52
0.00%","8578 / 8585
99.92%","0 / 1463
0.00%","0 / 153
0.00%","2 / 1502
0.13%","0 / 1
0.00%","0 / 0
NA","0 / 1858
0.00%","2 / 1612
0.12%","0 / 2
0.00%","0 / 1973
0.00%","0 / 1
0.00%","0 / 13
0.00%","0 / 0
NA","0 / 487
0.00%","0 / 3102
0.00%","0 / 1547
0.00%","2 / 2775
0.07%","0 / 6
0.00%","2 / 15
13.33%","2 / 2
100.00%","659 / 1610
40.93%"
SRR19179117.fastq.bam,"0 / 1920
0.00%","0 / 24
0.00%","0 / 1919
0.00%","0 / 1
0.00%","1 / 695
0.14%","0 / 708
0.00%","0 / 3808
0.00%","0 / 1385
0.00%","4084 / 4092
99.80%","0 / 72
0.00%","0 / 0
NA","2397 / 2432
98.56%","0 / 1
0.00%","97 / 98
98.98%","1440 / 1451
99.24%","0 / 1
0.00%","2 / 2
100.00%","0 / 1
0.00%","804 / 806
99.75%","0 / 0
NA","0 / 0
NA","0 / 1919
0.00%","1 / 1
100.00%","689 / 706
97.59%","701 / 708
99.01%","1377 / 1385
99.42%","0 / 45
0.00%","453 / 457
99.12%","0 / 127
0.00%","708 / 715
99.02%","0 / 221
0.00%","0 / 72
0.00%","0 / 2
0.00%","0 / 116
0.00%","0 / 3
0.00%","0 / 26
0.00%","0 / 799
0.00%","1 / 11
9.09%","0 / 24
0.00%","4325 / 4328
99.93%","0 / 695
0.00%","0 / 39
0.00%","0 / 709
0.00%","0 / 0
NA","0 / 0
NA","0 / 735
0.00%","0 / 11
0.00%","0 / 4
0.00%","0 / 2802
0.00%","0 / 712
0.00%","0 / 9
0.00%","0 / 0
NA","0 / 462
0.00%","1 / 711
0.14%","0 / 737
0.00%","0 / 1385
0.00%","0 / 1
0.00%","0 / 1
0.00%","1 / 1
100.00%","10 / 11
90.91%"
SRR19179118.fastq.bam,"2 / 662
0.30%","0 / 7
0.00%","0 / 662
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 299
0.00%","0 / 1169
0.00%","0 / 1350
0.00%","6258 / 6272
99.78%","0 / 10
0.00%","100 / 100
100.00%","4156 / 4240
98.02%","0 / 33
0.00%","0 / 3
0.00%","717 / 759
94.47%","1 / 4
25.00%","2 / 2
100.00%","0 / 0
NA","6994 / 7008
99.80%","0 / 0
NA","0 / 0
NA","0 / 662
0.00%","0 / 0
NA","1 / 315
0.32%","290 / 299
96.99%","1344 / 1350
99.56%","0 / 21
0.00%","475 / 478
99.37%","0 / 169
0.00%","300 / 316
94.94%","0 / 1479
0.00%","0 / 13
0.00%","0 / 23
0.00%","0 / 151
0.00%","1 / 237
0.42%","0 / 7
0.00%","0 / 189
0.00%","314 / 315
99.68%","0 / 7
0.00%","7775 / 7782
99.91%","2 / 293
0.68%","0 / 99
0.00%","0 / 300
0.00%","0 / 0
NA","0 / 0
NA","0 / 263
0.00%","0 / 315
0.00%","0 / 1
0.00%","0 / 3625
0.00%","0 / 1
0.00%","0 / 23
0.00%","0 / 0
NA","0 / 287
0.00%","1 / 617
0.16%","0 / 330
0.00%","0 / 1350
0.00%","0 / 3
0.00%","1 / 4
25.00%","0 / 0
NA","79 / 314
25.16%"
SRR19179119.fastq.bam,"2 / 2703
0.07%","0 / 24
0.00%","0 / 2703
0.00%","0 / 0
NA","0 / 207
0.00%","0 / 223
0.00%","2 / 412
0.49%","0 / 1
0.00%","4400 / 4413
99.71%","1 / 3
33.33%","95 / 95
100.00%","1075 / 1080
99.54%","1401 / 1404
99.79%","0 / 3
0.00%","1 / 1
100.00%","0 / 20
0.00%","1 / 1
100.00%","0 / 0
NA","188 / 188
100.00%","0 / 0
NA","0 / 0
NA","0 / 2703
0.00%","0 / 0
NA","1 / 2357
0.04%","218 / 223
97.76%","0 / 1
0.00%","0 / 10
0.00%","799 / 802
99.63%","0 / 39
0.00%","223 / 231
96.54%","0 / 2080
0.00%","0 / 12
0.00%","0 / 0
NA","0 / 68
0.00%","1 / 281
0.36%","0 / 25
0.00%","0 / 596
0.00%","2355 / 2379
98.99%","0 / 25
0.00%","6524 / 6535
99.83%","0 / 207
0.00%","0 / 101
0.00%","0 / 223
0.00%","0 / 0
NA","0 / 0
NA","0 / 928
0.00%","1 / 2379
0.04%","0 / 3
0.00%","0 / 982
0.00%","0 / 2595
0.00%","0 / 0
NA","0 / 0
NA","0 / 882
0.00%","2 / 2594
0.08%","0 / 266
0.00%","0 / 1
0.00%","0 / 3
0.00%","0 / 20
0.00%","0 / 0
NA","1095 / 2378
46.05%"
SRR19179120.fastq.bam,"7 / 2396
0.29%","0 / 8
0.00%","0 / 2395
0.00%","0 / 0
NA","0 / 423
0.00%","0 / 434
0.00%","0 / 895
0.00%","1 / 1495
0.07%","2594 / 2603
99.65%","0 / 16
0.00%","139 / 139
100.00%","3433 / 3468
98.99%","0 / 95
0.00%","0 / 13
0.00%","747 / 753
99.20%","1 / 1
100.00%","2 / 2
100.00%","0 / 0
NA","4828 / 4839
99.77%","0 / 0
NA","0 / 0
NA","0 / 2395
0.00%","0 / 0
NA","423 / 424
99.76%","353 / 434
81.34%","1477 / 1495
98.80%","0 / 30
0.00%","588 / 628
93.63%","1 / 151
0.66%","431 / 436
98.85%","0 / 668
0.00%","0 / 16
0.00%","0 / 2
0.00%","0 / 183
0.00%","2 / 271
0.74%","0 / 10
0.00%","0 / 412
0.00%","1 / 2
50.00%","0 / 8
0.00%","3287 / 3291
99.88%","77 / 423
18.20%","0 / 77
0.00%","0 / 434
0.00%","0 / 0
NA","0 / 0
NA","0 / 908
0.00%","1 / 2
50.00%","0 / 3
0.00%","0 / 3595
0.00%","77 / 442
17.42%","0 / 22
0.00%","0 / 0
NA","0 / 640
0.00%","0 / 436
0.00%","0 / 442
0.00%","1 / 1495
0.07%","0 / 13
0.00%","1 / 1
100.00%","0 / 0
NA","1 / 1
100.00%"
SRR19179121.fastq.bam,"2 / 1702
0.12%","0 / 18
0.00%","0 / 1702
0.00%","0 / 2
0.00%","0 / 1108
0.00%","0 / 1124
0.00%","0 / 3116
0.00%","0 / 1057
0.00%","3813 / 3821
99.79%","3 / 9
33.33%","122 / 123
99.19%","4073 / 4120
98.86%","0 / 124
0.00%","0 / 9
0.00%","913 / 917
99.56%","1 / 21
4.76%","1 / 1
100.00%","0 / 0
NA","6574 / 6591
99.74%","0 / 0
NA","0 / 0
NA","0 / 1702
0.00%","2 / 2
100.00%","0 / 1
0.00%","1105 / 1124
98.31%","1052 / 1057
99.53%","0 / 24
0.00%","501 / 503
99.60%","0 / 119
0.00%","1116 / 1132
98.59%","2 / 1358
0.15%","0 / 8
0.00%","0 / 2
0.00%","0 / 321
0.00%","0 / 204
0.00%","0 / 18
0.00%","0 / 1058
0.00%","1362 / 1380
98.70%","0 / 18
0.00%","5207 / 5211
99.92%","3 / 1108
0.27%","0 / 227
0.00%","0 / 1124
0.00%","0 / 0
NA","0 / 0
NA","0 / 623
0.00%","0 / 1380
0.00%","0 / 6
0.00%","0 / 3949
0.00%","3 / 2492
0.12%","0 / 24
0.00%","0 / 0
NA","0 / 306
0.00%","2 / 2493
0.08%","0 / 1143
0.00%","0 / 1057
0.00%","0 / 9
0.00%","1 / 21
4.76%","2 / 2
100.00%","1 / 1
100.00%"
SRR19179122.fastq.bam,"1 / 2317
0.04%","0 / 64
0.00%","0 / 2317
0.00%","0 / 0
NA","0 / 1
0.00%","0 / 406
0.00%","0 / 2009
0.00%","192 / 906
21.19%","4994 / 5006
99.76%","1 / 832
0.12%","67 / 67
100.00%","4952 / 5003
98.98%","0 / 763
0.00%","0 / 22
0.00%","3201 / 3225
99.26%","0 / 4
0.00%","1 / 1
100.00%","0 / 0
NA","2517 / 2522
99.80%","0 / 0
NA","0 / 0
NA","0 / 2317
0.00%","0 / 0
NA","1 / 1761
0.06%","400 / 406
98.52%","897 / 906
99.01%","0 / 89
0.00%","479 / 480
99.79%","0 / 231
0.00%","407 / 415
98.07%","0 / 2059
0.00%","0 / 831
0.00%","0 / 1
0.00%","0 / 123
0.00%","0 / 373
0.00%","0 / 65
0.00%","0 / 2262
0.00%","1761 / 1767
99.66%","0 / 64
0.00%","7101 / 7103
99.97%","0 / 402
0.00%","0 / 111
0.00%","0 / 407
0.00%","0 / 0
NA","0 / 0
NA","0 / 863
0.00%","3 / 1767
0.17%","0 / 4
0.00%","0 / 2612
0.00%","0 / 1
0.00%","0 / 4
0.00%","0 / 0
NA","0 / 743
0.00%","404 / 2172
18.60%","0 / 440
0.00%","192 / 906
21.19%","0 / 22
0.00%","0 / 4
0.00%","0 / 0
NA","690 / 1765
39.09%"
SRR19179123.fastq.bam,"4 / 2247
0.18%","0 / 36
0.00%","0 / 2246
0.00%","0 / 3
0.00%","0 / 910
0.00%","0 / 920
0.00%","1 / 2813
0.04%","0 / 2175
0.00%","6007 / 6017
99.83%","1 / 41
2.44%","4 / 4
100.00%","4093 / 4131
99.08%","0 / 91
0.00%","0 / 19
0.00%","850 / 856
99.30%","0 / 0
NA","1 / 1
100.00%","0 / 0
NA","12772 / 12795
99.82%","1 / 1
100.00%","0 / 0
NA","0 / 2246
0.00%","2 / 3
66.67%","0 / 646
0.00%","910 / 920
98.91%","2162 / 2176
99.36%","0 / 32
0.00%","729 / 736
99.05%","0 / 239
0.00%","919 / 939
97.87%","0 / 1587
0.00%","0 / 46
0.00%","0 / 2
0.00%","0 / 294
0.00%","0 / 347
0.00%","0 / 36
0.00%","0 / 1433
0.00%","646 / 664
97.29%","0 / 36
0.00%","7645 / 7651
99.92%","0 / 910
0.00%","0 / 111
0.00%","1 / 920
0.11%","0 / 1
0.00%","0 / 0
NA","0 / 767
0.00%","1 / 664
0.15%","0 / 0
NA","66 / 5307
1.24%","1 / 1573
0.06%","0 / 12
0.00%","0 / 0
NA","0 / 781
0.00%","0 / 1572
0.00%","0 / 961
0.00%","0 / 2175
0.00%","0 / 19
0.00%","0 / 0
NA","2 / 3
66.67%","263 / 664
39.61%"
SRR19179124.fastq.bam,"1 / 1773
0.06%","0 / 6
0.00%","0 / 1773
0.00%","0 / 4
0.00%","0 / 1
0.00%","1 / 1023
0.10%","1 / 2326
0.04%","1 / 302
0.33%","3658 / 3669
99.70%","0 / 14
0.00%","37 / 37
100.00%","4883 / 4929
99.07%","0 / 226
0.00%","0 / 30
0.00%","2298 / 2311
99.44%","1 / 15
6.67%","2 / 2
100.00%","0 / 0
NA","4579 / 4589
99.78%","1 / 1
100.00%","0 / 0
NA","1 / 1773
0.06%","4 / 4
100.00%","1 / 461
0.22%","1006 / 1023
98.34%","300 / 302
99.34%","0 / 26
0.00%","644 / 646
99.69%","0 / 169
0.00%","1020 / 1038
98.27%","0 / 1685
0.00%","0 / 19
0.00%","0 / 2
0.00%","0 / 105
0.00%","1 / 206
0.49%","0 / 0
NA","0 / 427
0.00%","459 / 468
98.08%","0 / 0
NA","5384 / 5387
99.94%","1 / 1001
0.10%","0 / 116
0.00%","1 / 1024
0.10%","0 / 1
0.00%","0 / 0
NA","0 / 624
0.00%","0 / 468
0.00%","0 / 1
0.00%","0 / 3274
0.00%","0 / 1
0.00%","0 / 12
0.00%","0 / 0
NA","0 / 1141
0.00%","0 / 1490
0.00%","1 / 1055
0.09%","1 / 302
0.33%","0 / 30
0.00%","1 / 15
6.67%","4 / 4
100.00%","172 / 467
36.83%"
SRR19179125.fastq.bam,"0 / 1785
0.00%","0 / 15
0.00%","0 / 1785
0.00%","0 / 0
NA","1 / 1689
0.06%","2 / 1718
0.12%","1 / 5637
0.02%","1 / 1186
0.08%","9366 / 9385
99.80%","2 / 46
4.35%","91 / 91
100.00%","3347 / 3379
99.05%","0 / 610
0.00%","0 / 12
0.00%","928 / 935
99.25%","0 / 4
0.00%","1 / 1
100.00%","0 / 1
0.00%","8428 / 8444
99.81%","2 / 2
100.00%","0 / 0
NA","0 / 1785
0.00%","0 / 0
NA","2 / 1286
0.16%","1696 / 1718
98.72%","1185 / 1186
99.92%","0 / 70
0.00%","1 / 1
100.00%","0 / 152
0.00%","1712 / 1750
97.83%","1 / 2954
0.03%","0 / 1
0.00%","0 / 1
0.00%","0 / 201
0.00%","1 / 132
0.76%","0 / 15
0.00%","0 / 833
0.00%","1286 / 1289
99.77%","0 / 15
0.00%","12365 / 12376
99.91%","0 / 1689
0.00%","0 / 63
0.00%","1 / 1719
0.06%","0 / 2
0.00%","0 / 0
NA","0 / 643
0.00%","0 / 1289
0.00%","0 / 3
0.00%","0 / 3811
0.00%","5 / 3016
0.17%","0 / 19
0.00%","0 / 0
NA","0 / 957
0.00%","3 / 3016
0.10%","2 / 1776
0.11%","1 / 1186
0.08%","0 / 12
0.00%","0 / 4
0.00%","0 / 0
NA","533 / 1287
41.41%"
SRR19179126.fastq.bam,"4 / 3400
0.12%","0 / 27
0.00%","0 / 3401
0.00%","0 / 4
0.00%","0 / 1346
0.00%","1 / 1400
0.07%","0 / 6474
0.00%","0 / 3354
0.00%","6671 / 6692
99.69%","1 / 45
2.22%","67 / 67
100.00%","3976 / 4034
98.56%","0 / 322
0.00%","0 / 17
0.00%","1723 / 1746
98.68%","1 / 31
3.23%","3 / 3
100.00%","0 / 1
0.00%","10100 / 10114
99.86%","1 / 1
100.00%","2 / 2
100.00%","3 / 3401
0.09%","3 / 4
75.00%","1 / 1966
0.05%","1384 / 1400
98.86%","3342 / 3354
99.64%","0 / 40
0.00%","1 / 1
100.00%","0 / 182
0.00%","1397 / 1420
98.38%","1 / 4049
0.02%","0 / 60
0.00%","0 / 6
0.00%","0 / 223
0.00%","0 / 374
0.00%","0 / 30
0.00%","0 / 2107
0.00%","1967 / 1983
99.19%","0 / 28
0.00%","10786 / 10806
99.81%","0 / 1346
0.00%","0 / 118
0.00%","0 / 1400
0.00%","0 / 1
0.00%","0 / 2
0.00%","0 / 1296
0.00%","0 / 1983
0.00%","0 / 3
0.00%","0 / 5044
0.00%","1 / 3385
0.03%","0 / 6
0.00%","0 / 0
NA","0 / 2409
0.00%","0 / 3383
0.00%","1 / 1455
0.07%","0 / 3354
0.00%","0 / 17
0.00%","1 / 31
3.23%","3 / 4
75.00%","882 / 1981
44.52%"
SRR19179127.fastq.bam,"6 / 2360
0.25%","0 / 22
0.00%","0 / 2360
0.00%","0 / 1
0.00%","0 / 1
0.00%","0 / 1537
0.00%","0 / 1050
0.00%","1 / 1047
0.10%","4331 / 4760
90.99%","2 / 194
1.03%","146 / 146
100.00%","4270 / 4325
98.73%","0 / 244
0.00%","0 / 77
0.00%","1135 / 1143
99.30%","0 / 5
0.00%","1 / 1
100.00%","0 / 1
0.00%","10872 / 10891
99.83%","0 / 0
NA","1 / 1
100.00%","0 / 2360
0.00%","1 / 1
100.00%","1 / 850
0.12%","1372 / 1537
89.26%","1042 / 1047
99.52%","0 / 78
0.00%","771 / 775
99.48%","2 / 87
2.30%","1539 / 1554
99.03%","1 / 4658
0.02%","0 / 194
0.00%","0 / 1
0.00%","0 / 161
0.00%","1 / 376
0.27%","0 / 23
0.00%","0 / 1273
0.00%","848 / 856
99.07%","0 / 23
0.00%","9459 / 9467
99.92%","166 / 1517
10.94%","0 / 49
0.00%","1 / 1540
0.06%","0 / 0
NA","0 / 1
0.00%","0 / 909
0.00%","0 / 856
0.00%","0 / 2
0.00%","0 / 2171
0.00%","0 / 1
0.00%","0 / 7
0.00%","0 / 0
NA","0 / 1184
0.00%","0 / 2398
0.00%","1 / 1562
0.06%","1 / 1047
0.10%","0 / 77
0.00%","0 / 5
0.00%","1 / 1
100.00%","446 / 855
52.16%"
SRR19179128.fastq.bam,"3 / 1972
0.15%","0 / 33
0.00%","0 / 1972
0.00%","0 / 1
0.00%","1 / 1106
0.09%","2 / 1141
0.18%","1 / 2584
0.04%","0 / 1395
0.00%","2964 / 2970
99.80%","2 / 12
16.67%","53 / 55
96.36%","2289 / 2316
98.83%","0 / 163
0.00%","0 / 34
0.00%","2272 / 2282
99.56%","0 / 14
0.00%","5 / 5
100.00%","0 / 0
NA","3999 / 4010
99.73%","1 / 1
100.00%","0 / 0
NA","0 / 1972
0.00%","1 / 1
100.00%","0 / 1069
0.00%","1124 / 1141
98.51%","1385 / 1395
99.28%","0 / 17
0.00%","1 / 1
100.00%","0 / 118
0.00%","1138 / 1151
98.87%","4 / 3207
0.12%","0 / 27
0.00%","0 / 2
0.00%","0 / 112
0.00%","0 / 104
0.00%","0 / 34
0.00%","0 / 899
0.00%","1071 / 1082
98.98%","0 / 33
0.00%","6232 / 6238
99.90%","0 / 1106
0.00%","0 / 90
0.00%","1 / 1142
0.09%","0 / 1
0.00%","0 / 0
NA","0 / 734
0.00%","2 / 1082
0.18%","0 / 3
0.00%","0 / 2267
0.00%","0 / 2218
0.00%","0 / 10
0.00%","0 / 0
NA","0 / 967
0.00%","1 / 2220
0.05%","2 / 1164
0.17%","0 / 1395
0.00%","0 / 34
0.00%","1 / 15
6.67%","1 / 1
100.00%","485 / 1079
44.95%"
SRR19179129.fastq.bam,"2 / 773
0.26%","0 / 2
0.00%","0 / 773
0.00%","0 / 1
0.00%","0 / 2
0.00%","1 / 1055
0.09%","0 / 3604
0.00%","0 / 1063
0.00%","6035 / 6049
99.77%","0 / 122
0.00%","45 / 45
100.00%","3490 / 3539
98.62%","0 / 48
0.00%","0 / 7
0.00%","1169 / 1175
99.49%","0 / 26
0.00%","3 / 3
100.00%","0 / 0
NA","4625 / 4688
98.66%","0 / 0
NA","0 / 0
NA","0 / 773
0.00%","1 / 1
100.00%","0 / 1
0.00%","1049 / 1055
99.43%","1059 / 1063
99.62%","0 / 66
0.00%","625 / 630
99.21%","0 / 122
0.00%","1056 / 1083
97.51%","1 / 827
0.12%","0 / 122
0.00%","0 / 2
0.00%","0 / 199
0.00%","0 / 287
0.00%","0 / 3
0.00%","0 / 270
0.00%","516 / 524
98.47%","0 / 2
0.00%","6882 / 6892
99.85%","1 / 937
0.11%","0 / 71
0.00%","0 / 1057
0.00%","0 / 0
NA","0 / 0
NA","0 / 298
0.00%","111 / 524
21.18%","0 / 0
NA","1 / 2492
0.04%","0 / 2
0.00%","0 / 6
0.00%","0 / 0
NA","0 / 1143
0.00%","2 / 1579
0.13%","4 / 1107
0.36%","0 / 1063
0.00%","0 / 7
0.00%","0 / 26
0.00%","1 / 1
100.00%","1 / 1
100.00%"
